title,artist
Alone,Heart
The Story,Brandi Carlile
And We Danced,Macklemore
Auld Lang Syne,Robert Burns
Say You Wont Let Go,James Arthur
Save as Draft,Katy Perry
Kids,MGMT
No Vacancy,OneRepublic
God Is a Girl,Groove Coverage
Apollo,Timebelle
Be there,Krewella
A New Day Has Come ,Celine Dion
Nights With You,MO
Afterlife,Avenged Sevenfold
Coconut Tree ,Mohombi
20 Good Reasons,Thirsty Merc
21 Guns,Green Day
Africa,Toto
Aicha,Cheb Khaled
Aint Your Mama,Jennifer Lopez
Airplanes,B.o.B
All Too Well,Taylor Swift
All You Wanted,Michelle Branch
Always on My Mind,Brenda Lee
Amaranth,Nightwish
Amaranthine,Amaranthe
Androgynous,The Replacements
Another Girl Another Planet,The Only Ones
Apologize,OneRepublic
Atemlos,Helene Fischer
Bad Blood,Taylor Swift
Bailando,Enrique Iglesias
Beast of Burden,The Rolling Stones
Beautiful,Akon
Born to Make You Happy,Britney Spears
Bridge of Light,Pnk
Brighter,Against the Current
Brighter Than the Sun,Colbie Caillat
Bullet,Hollywood Undead
California King Bed,Rihanna
Caramelldansen,Caramell
Cheap Thrills,Sia
Ciaccona,Antonio Bertali
Come Over,Kenny Chesney
Complicated,Avril Lavigne
Confusion and Frustration in Modern Times,Sum 41
I'm an Albatraoz,AronChupa
Contact,Daft Punk
Cruise,Florida Georgia Line
Cryin,Aerosmith
Cute Without The E ,Aerosmith
Dammit,Blink-182
Demons,Imagine Dragons
De Musica Ligera,Soda Stereo
Despacito,Luis Fonsi
Dirty Little Secret,The All-American Rejects
Dont Forget Me,Red Hot Chili Peppers
Dont Stop Believin,Journey
Dont Stop the Dancing,DJ Manian
Dont Trust Me,3OH3
Dont You Wanna Stay,Jason Aldean
Down,Jay Sean
Down Under,Men at Work
Dream Catch Me,Newton Faulkner
Drive By,Train
Duke of Earl,Gene Chandler
Electrical Storm,U2
Enter the Ninja,Die Antwoord
Faded,Alan Walker
Fall At Your Feet,Crowded House
Colour My Love,Barbarella
Feeling This,Blink-182
Flashlight,Jessie J
For the First Time,The Script
Forever Young,Alphaville
Four Chords,The Axis of Awesome
Fuckin Perfect,Pnk
Give Me Everything,Pitbull
Glen Echo Jig,Pitbull
Glycerine,Bush
Going to Pasalacqua,Green Day
Good Life,OneRepublic
Great Romances Of The 20th Century,Taking Back Sunday
Hair,Lady Gaga
Hall of Fame,The Script
Happy Ending,Mika
Heart Attack,Demi Lovato
Hello,Adele
Here Without You,3 Doors Down
Here ,Hellogoodbye
Hero of War,Rise Against
Hey Brother,Avicii
Hey Soul Sister,Train
Hide and Seek,Imogen Heap
Holiday,Green Day
Home,Phillip Phillips
How Far Ill Go,Auli'i Cravalho
If I Were a Boy,Beyonce
If We Ever Meet Again,Timbaland
I Just Had Sex,The Lonely Island
I Knew You Were Trouble,Taylor Swift
Im Goin Down,Bruce Springsteen
Im Yours,Jason Mraz
In My Head,Jason Derulo
In This River,Black Label Society
Innocent,Taylor Swift
Injection,Rise Against
International Love,Pitbull
I Wanna Talk About Me,Toby Keith
I Was Here,Beyonce
Just Ace,Grinspoon
Just a Dream,Nelly
Kaze wa Fuiteiru,AKB48
Lemonade,Alexandra Stan
Let It Be,The Beatles
Let It Go,Idina Menzel
Little Talks,Of Monsters and Men
Love,Lana Del Rey
Love Me,Justin Bieber
Love the Way You Lie,Eminem
Marilyn Monroe,Nicki Minaj
Million Eyes,Loic Nottet
Mirrors,Natalia Kills
My Name Is Jonas,Weezer
Nao Me Toca,Anselmo Ralph
Nobodys Perfect,Miley Cyrus
Nobodys Perfect,Jessie J
No One,Alicia Keys
No Woman No Cry,Bob Marley
No One Else,Weezer
Not Afraid,Eminem
Numb,Linkin Park
One of Us,Joan Osborne
On the Floor,Jennifer Lopez
On Melancholy Hill,Gorillaz
Otherside,Red Hot Chili Peppers
Out of the Woods,Taylor Swift
Paralyzed,Against the Current
Party in the U.S.A.,Miley Cyrus
Peace of Mind,Boston
Pieces,Sum 41
Poker Face,Lady Gaga
Pork and Beans,Weezer
Ready or Not,Bridgit Mendler
Replay,Iyaz
Right Here Waiting,Richard Marx
Rise,McClain Sisters
Save Tonight,Eagle Eye Cherry
Say Something,A Great Big World
Scar,Missy Higgins
Science & Faith,The Script
Screen,Twenty One Pilots
Self Esteem,The Offspring
Shake It,Metro Station
Shooting Star,Amy Diamond
Silverflame,Dizzy Mizz Lizzy
Six Degrees of Separation,The Script
Skyscraper,Demi Lovato
Snow,Red Hot Chili Peppers
Someone like You,Adele
So Lonely,The Police
So Small,Carrie Underwood
Soul To Squeeze,Red Hot Chili Peppers
Sparks Fly,Taylor Swift
Stamp on the Ground,ItaloBrothers
Stand,Rascal Flatts
Am I Not Too Sweet,Natural Born Hippies
Still Loving You,Scorpions
Stronger,Kelly Clarkson
Summer Paradise,Simple Plan
Sun Goes Down,Robin Schulz
Tacata,Tacabro
Take Me Home Country Roads,John Denver
Tangled Up in Me,Skye Sweetnam
Tears of the Dragon,Bruce Dickinson
The Big Ship,Bruce Dickinson
The Edge of Glory,Lady Gaga
The Hell Song,Sum 41
The Kids Arent Alright,The Offspring
The Light Behind Your Eyes,My Chemical Romance
The Passenger,Iggy Pop
The Scientist,Coldplay
The Rock Show,Blink-182
Think Twice,Eve 6
This Is Me,Demi Lovato
Tired,Alan Walker
To Know Him Is to Love Him,The Teddy Bears
Too Cool,Meaghan Jette Martin
Try,Colbie Caillat
Try,Pnk
Tuesdays Gone,Lynyrd Skynyrd
U + Ur Hand,Pnk
Under The Bridge,Red Hot Chili Peppers
Vamos a la playa ,Miranda 
Viva la Vida,Coldplay
Wagon Wheel,Old Crow Medicine Show
Walking Disaster,Sum 41
Walks Like Rihanna,The Wanted
Wannabe,The Spice Girls
We Found Love,Rihanna
What About Now,Lonestar
Whats My Age Again?,Blink-182
What Would I Change It To,Avicii & AlunaGeorge
When I Come Around,Green Day
Wherever You Will Go,The Calling
Whistle,Flo Rida
Who You Are,Jessie J
Wicked Wonderland,Martin Tungevaag
Wine To Di Top,Vybz Kartel
Wing Commander Donald Mackenzies,Vybz Kartel
With Me,Sum 41
With or Without You,U2
Wonderland,Natalia Kills
Would You Be So Kind,dodie
Youre Not Sorry,Taylor Swift
Heaven,Troye Sivan
Youth,Troye Sivan
X-Kid,Green Day
Zombie,The Cranberries

